Week,Prophet,Naive_Seasonal,SARIMA,SARIMAX_Promo,Prophet_Lower,Prophet_Upper
2025-09-07,1066841.48,1086827.14,1067065.33,1124742.55,996168.58,1138614.71
2025-09-14,1087312.34,1009021.15,1091599.7,1139692.21,1016264.83,1158502.41
2025-09-21,1117091.11,1024850.22,1120114.02,1171291.75,1041985.02,1186868.57
2025-09-28,1132540.13,1115905.43,1102052.06,1101363.13,1061219.01,1201114.17
2025-10-05,1131227.41,1153170.58,1097151.02,1096293.93,1061808.66,1205353.17
2025-10-12,1128148.95,1073626.97,1148936.74,1147925.94,1054557.46,1192544.9
2025-10-19,1131395.66,1036697.04,1137667.74,1136782.96,1064863.32,1203890.52
2025-10-26,1129920.61,1111539.86,1067975.54,1067240.33,1058354.92,1200400.42
2025-11-02,1109089.32,1097311.36,1076561.85,1075761.77,1040893.74,1177622.28
2025-11-09,1073589.17,1039071.59,1086568.76,1085694.91,999766.17,1142389.44
2025-11-16,1047561.66,1087766.97,1043856.61,1043009.08,975842.07,1117471.98
2025-11-23,1050135.62,1133839.04,1011523.72,1010803.13,978047.26,1120521.75
2025-11-30,1075138.65,1086567.51,1075876.14,1124540.78,1004990.96,1150722.93
2025-12-07,1098877.9,1004172.68,1105272.18,1155340.11,1026315.69,1170207.29
2025-12-14,1106212.14,1102868.02,1108121.97,1158505.7,1035521.8,1179917.51
2025-12-21,1104224.17,1223555.45,1077033.65,1125930.64,1031134.05,1179579.94
2025-12-28,1109125.75,1167585.13,1107884.55,1106588.11,1039883.83,1180542.75
2026-01-04,1124145.96,1056314.12,1114928.26,1114396.97,1057463.48,1188954.09
2026-01-11,1135067.7,1079240.42,1128500.49,1127469.58,1063314.2,1206366.7
2026-01-18,1127165.49,1118554.81,1110291.28,1109458.28,1052044.5,1200356.47
2026-01-25,1102317.74,1090486.48,1086301.1,1085606.23,1028851.19,1172539.29
2026-02-01,1077277.37,1120910.05,1059239.81,1058548.15,1005886.86,1150041.07
2026-02-08,1067458.03,1137703.7,1062247.1,1061404.53,995163.81,1136390.08
2026-02-15,1075121.25,1117129.07,1066977.12,1066288.33,1003759.43,1147104.98
